Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:47:19,2021-07-23 21:47:29,9.218s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:47:29,2021-07-23 21:47:29,0.625s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:47:29,2021-07-23 21:47:30,0.614s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), Timeout)",Firefox 89.0,,,2021-07-23 21:47:30,2021-07-23 21:47:33,2.886s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_project_name""), ""S"")",Firefox 89.0,,,2021-07-23 21:47:33,2021-07-23 21:47:41,8.348s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:47:41,2021-07-23 21:47:42,0.975s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), ""politik"")",Firefox 89.0,,,2021-07-23 21:47:42,2021-07-23 21:47:43,0.774s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_keyword_suggestions""), ""partai"")",Firefox 89.0,,,2021-07-23 21:47:43,2021-07-23 21:47:44,0.821s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:44,0.833s,PASSED
waitForPageLoad(Timeout),Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:44,0.036s,PASSED
"focus(findTestObject(""CreateNewProject/FormPage_1/input_project_name""))",Firefox 89.0,,,2021-07-23 21:47:44,2021-07-23 21:47:45,0.401s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 21:47:45,2021-07-23 21:47:48,3.007s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-30-CreateProjectUsingInvalidDomainFormatInDomainFieldTestCase,Firefox 89.0,"create a project using invalid domain format in the domain field.
Expected: Cannot proceed to 2nd page of the setup",create project,2021-07-23 21:47:48,2021-07-23 21:48:46,57.950s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:47:48,2021-07-23 21:48:18,29.653s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:48:18,2021-07-23 21:48:22,3.846s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:22,2021-07-23 21:48:23,0.640s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:48:23,2021-07-23 21:48:23,0.629s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/popup_window_creating_project""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:23,2021-07-23 21:48:26,2.819s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:48:26,2021-07-23 21:48:35,8.854s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), Timeout)",Firefox 89.0,,,2021-07-23 21:48:35,2021-07-23 21:48:37,1.661s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), ""politik"")",Firefox 89.0,,,2021-07-23 21:48:37,2021-07-23 21:48:37,0.711s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_keyword_suggestions""), ""partai"")",Firefox 89.0,,,2021-07-23 21:48:37,2021-07-23 21:48:38,0.828s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:48:38,2021-07-23 21:48:39,0.790s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 21:48:39,2021-07-23 21:48:42,3.011s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:48:42,2021-07-23 21:48:46,3.929s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-31-CreateProjectWithKeywordLessThan2CharactersTestCase,Firefox 89.0,"create a project with keyword with less than 2 characters.
Expected: Cannot proceed to 2nd page of the setup.",create project,2021-07-23 21:48:46,2021-07-23 21:49:37,51.036s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:48:46,2021-07-23 21:49:14,27.448s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:49:14,2021-07-23 21:49:16,2.745s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:49:16,2021-07-23 21:49:17,0.557s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:49:17,2021-07-23 21:49:18,0.598s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/popup_window_creating_project""), Timeout)",Firefox 89.0,,,2021-07-23 21:49:18,2021-07-23 21:49:20,2.237s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:49:20,2021-07-23 21:49:28,8.214s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), Timeout)",Firefox 89.0,,,2021-07-23 21:49:28,2021-07-23 21:49:28,0.433s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), ""politik"")",Firefox 89.0,,,2021-07-23 21:49:28,2021-07-23 21:49:29,0.757s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_keyword_suggestions""), ""partai"")",Firefox 89.0,,,2021-07-23 21:49:29,2021-07-23 21:49:30,0.804s,PASSED
"click(findTestObject(""CreateNewProject/FormPage_1/button_next""))",Firefox 89.0,,,2021-07-23 21:49:30,2021-07-23 21:49:31,0.784s,PASSED
delay(3),Firefox 89.0,,,2021-07-23 21:49:31,2021-07-23 21:49:34,3.009s,PASSED
com.helper.browserhelper.CustomBrowser.closeBrowser(),Firefox 89.0,,,2021-07-23 21:49:34,2021-07-23 21:49:37,3.026s,PASSED
,,,,,,,
Test Cases/Create Project/Negative/TS-CPR-32-UploadCsvWithoutSelectingAnyKeywordsTestCase,Firefox 89.0,"upload a csv without selecting any keywords.
Expected: Csv no uploaded, user prompted to select at least one keyword",create project,2021-07-23 21:49:37,2021-07-23 21:50:24,46.897s,PASSED
com.helper.browserhelper.CustomBrowser.login(),Firefox 89.0,,,2021-07-23 21:49:37,2021-07-23 21:50:00,23.105s,PASSED
"click(findTestObject(""CreateNewProject/button_add_project""))",Firefox 89.0,,,2021-07-23 21:50:00,2021-07-23 21:50:02,1.326s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/popup_frame_choose_ project_type_domain_or_youtube""), Timeout)",Firefox 89.0,,,2021-07-23 21:50:02,2021-07-23 21:50:02,0.544s,PASSED
"click(findTestObject(""CreateNewProject/button_domain""))",Firefox 89.0,,,2021-07-23 21:50:02,2021-07-23 21:50:03,0.685s,PASSED
"waitForElementPresent(findTestObject(""CreateNewProject/popup_window_creating_project""), Timeout)",Firefox 89.0,,,2021-07-23 21:50:03,2021-07-23 21:50:06,2.900s,PASSED
"setText(findTestObject(""CreateNewProject/FormPage_1/input_domain_name""), ""detik.com"")",Firefox 89.0,,,2021-07-23 21:50:06,2021-07-23 21:50:14,8.391s,PASSED
"waitForElementVisible(findTestObject(""CreateNewProject/FormPage_1/input_add_your_keyword""), Timeout)",Firefox 89.0,,,2021-07-23 21:50:14,2021-07-23 21:50:15,0.400s,PASSED
